FECHA;Meteo_Madrid.Vel viento (m/s);Meteo_Madrid.Temperatura (ºC);Meteo_Madrid.Presión barométrica (mb);Meteo_Madrid.Precipitación (l/m2);M30.UsuariosCalle30 (veh);M30.vehxKmTotales;M30.vehxKmRamales;SO2 (µg/m 3);CO (mg/m3);NO (µg/m3);NO2 (µg/m 3);NOx (µg/m3);PM2.5 (µg/m3);PM10 (µg/m3);O3 (µg/m 3);TOL (µg/m3);BEN (µg/m3);EBE (µg/m3);TCH (mg/m3);CH4 (mg/m3);NMHC (mg/m3)
01/01/2018;6,1;7,3;957,9;0;842530;5187934;1372216;3;0,3;3;24;30;4,5;13;50;0,45;0,4;0,1;1,22;1,17;0,03
02/01/2018;7,2;10,5;958,2;0;1319122;8143651;2208081;3;0,3;9;33,5;46,5;5;10;40,5;0,9;0,35;0,1;1,24;1,19;0,04
03/01/2018;3,9;10,8;957,7;0;1309927;8080076;2154909;3;0,4;20,5;39;73;7;10,5;18,5;1,65;0,5;0,2;1,38;1,34;0,04
04/01/2018;4,2;10,9;952,9;0;1368265;8354874;2213109;4;0,3;11;31,5;47,5;6;8;20,5;1,5;0,35;0,15;1,26;1,235;0,03
05/01/2018;6,1;8,8;939,6;6;1322117;7958540;2135501;3,5;0,25;5,5;29;38;4;5;36,5;0,8;0,3;0,1;1,275;1,245;0,03
06/01/2018;5,3;4,4;927,1;23,3;917585;5667213;1500097;3;0,3;3,5;26;31,5;2;2,5;55;0,6;0,35;0,1;1,17;1,15;0,04
07/01/2018;4,2;2,3;929,5;5,8;839021;5044807;1382674;3;0,3;4,5;27,5;35,5;3;3;43;0,7;0,4;0,1;1,2;1,17;0,04
08/01/2018;3,9;3,9;940,2;0,1;1428198;8633730;2326593;4,5;0,45;36,5;55;107;7;11,5;22;2,3;0,7;0,25;1,3;1,22;0,07
09/01/2018;2,1;1,1;946,1;1,6;1411599;8498031;2316267;4,5;0,55;60;64;156,5;14;18,5;4,5;3,45;1,05;0,5;1,49;1,4;0,08
10/01/2018;5;5,2;947;0,6;1438281;8705412;2345200;3;0,35;15,5;47;70,5;8;10,5;20;1,7;0,7;0,2;1,27;1,24;0,04
11/01/2018;7,8;5,9;950,1;0;1467547;8877518;2414156;4,5;0,3;12,5;35,5;55,5;3,5;8,5;50;0,95;0,45;0,2;1,22;1,19;0,05
12/01/2018;3,3;3,8;952,2;0;1484363;8946660;2411899;6;0,5;63;70;168,5;10,5;17;18;3,2;0,95;0,55;1,47;1,38;0,09
13/01/2018;3,3;2,6;947;5,6;1085707;6441680;1733255;4;0,5;36;62,5;118,5;14;17,5;8;2,8;0,9;0,35;1,49;1,45;0,07
14/01/2018;3,6;4,6;947,3;0;920691;5571581;1503361;4,5;0,3;7;33;45,5;6;7,5;36;0,75;0,45;0,2;1,23;1,22;0,04
15/01/2018;3,9;3,9;953,6;0;1437469;8599912;2324461;6;0,5;45;57;124;10;15;17;2,3;0,7;0,4;1,34;1,28;0,07
16/01/2018;4,3;6,85;954,8;0;1472720;8809071;2393913;4,5;0,5;50;60,5;137;12;18;13,5;3,45;0,9;0,5;1,5;1,43;0,07
17/01/2018;5;8,1;952,2;0;1475044;8835199;2384379;6,5;0,5;48,5;56;132,5;11;15,5;18;3,4;0,85;0,5;1,46;1,39;0,07
18/01/2018;2,5;7,4;951,1;0;1509201;8971977;2430049;8;0,6;69,5;74,5;184;10,5;21;14;4,65;1,05;0,75;1,38;1,3;0,08
19/01/2018;2,8;7,6;949,1;0;1445752;8783305;2365528;9;0,6;68;76;178,5;14,5;22;7;4,4;1;0,6;1,32;1,245;0,075
20/01/2018;5,6;8;952,9;0;1201575;7304742;1950882;7;0,6;57,5;63,5;152;10,5;21;13,5;3,2;0,9;0,7;1,5;1,415;0,085
21/01/2018;3,3;11,3;954,7;0;982284;6024930;1602761;5;0,4;21;50;83;7,5;12;16,5;1,5;0,5;0,3;1,315;1,265;0,05
22/01/2018;3,3;9;954,8;0;1425544;8545559;2300883;7,5;0,55;63;56;154,5;10,5;17;10,5;4,1;0,9;0,6;1,28;1,225;0,06
23/01/2018;3,6;10,4;955,3;0;1450963;8833173;2373261;9;0,55;72,5;62;173;11,5;19;12;5,4;1,15;0,75;1,32;1,28;0,07
24/01/2018;2,6;8;953,4;0;1464831;8811110;2385614;8,5;0,6;75;66,5;181,5;17,5;28,5;7;5,75;1,05;0,9;1,43;1,37;0,09
25/01/2018;3,9;5;947;2,3;1432900;8743324;2368880;5,5;0,5;62,5;56,5;148,5;19;24;11;3,95;0,85;0,65;1,53;1,48;0,07
26/01/2018;6,1;6;949,9;0,4;1448870;8833965;2375502;4;0,3;8;31;42,5;3;6,5;50;0,9;0,45;0,15;1,23;1,19;0,05
27/01/2018;6,4;7,2;956,1;0;1066620;6519581;1742083;4;0,2;3;18;23;3;5;59,5;0,4;0,3;0,1;1,25;1,19;0,05
28/01/2018;7,8;8,2;960,1;0;937215;5828227;1560351;4,5;0,3;2;19;23,5;4;6;55;0,4;0,3;0,15;1,34;1,295;0,045
29/01/2018;4,2;8,3;960;0;1432065;8584131;2324461;6;0,5;47,5;59,5;133,5;9,5;18;27,5;3,1;0,8;0,5;1,415;1,325;0,09
30/01/2018;3,3;6,5;955,8;0;1745237;10445360;2756603;6,5;0,55;49,5;66;145,5;11,5;19;16;3,9;0,85;0,6;1,36;1,27;0,09
31/01/2018;2,5;6,6;950,7;0;1496029;8944955;2428287;8;0,55;60;78;171;13,5;22;10;5;0,9;0,6;1,4;1,28;0,12
01/02/2018;5,8;6;940;0,1;1488701;8964106;2416194;6,5;0,5;68;67;174;14,5;22,5;18,5;4,4;0,95;0,8;1,56;1,46;0,12
